delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
508434,149056,118503,82032,59935,22864,22909,7856,64,38
512405,383668,168458,101343,114595,49143,8346,3832,67,40
757002,114929,11992,7195,24600,15105,4215,1528,67,40
46271,253170,80755,13921,38398,22961,12660,7909,67,40
1203188,36774,10202,2009,8804,5307,2702,1478,67,40
881741,76462,15872,12722,3480,2558,2323,1422,67,40
505413,20989,1082,5347,1856,1125,403,213,67,40
644740,43329,7792,10262,12620,8456,2003,2450,66,47
72532,74089,942,21490,8597,5581,3557,813,61,40
174512,160802,17210,10321,3879,4485,3044,3286,44,30
837946,94427,66237,10037,19713,13569,6006,13418,47,34
136225,36021,19274,8875,4948,5261,4443,1352,54,27
1927446,221612,49325,62446,37355,15827,7834,5186,57,26
274660,15269,4778,7622,8545,5451,2445,1849,67,43
141570,74818,5618,5059,2096,2552,1463,1488,53,35
654521,307598,171777,37250,39234,15382,7502,7067,53,27
204281,149955,31360,6694,17603,18558,15214,5788,47,34
1541531,229845,99382,12976,21456,9542,6948,6801,47,17
374179,70038,35728,4912,5973,3975,7972,830,60,21
74662,62831,20561,32171,4419,3575,1825,516,61,20
2057748,533215,121811,142979,57171,64428,19731,7682,61,20
20111,4687,265,3128,247,483,525,120,61,20
1094578,223451,77982,36102,23629,30569,5025,4371,67,17
280227,31285,8697,7315,11517,6251,4386,2303,66,29
1778588,114589,23172,43673,24005,39859,4927,1835,66,29
689002,241976,51762,33752,41879,16661,10263,3508,66,29
788319,411777,85967,44677,21375,38331,50666,26907,66,29
32449,30243,6138,6636,3308,1657,1232,296,63,29
28525,14674,7400,3330,2259,4383,1450,439,60,44
316739,133275,12002,45540,18162,9164,11761,3336,60,40
1014551,337155,472970,26995,48375,27296,19718,13532,74,29
391576,75534,1492,39835,26606,7339,4016,2870,74,34
840138,92518,8596,2623,12179,12273,4649,1334,56,29
617077,139360,42633,29758,13820,17537,5255,2523,56,35
104212,4643,5298,9250,5749,2926,2645,249,54,47
766953,115376,11998,16941,12210,17283,8600,2445,50,51
1672826,1091591,133641,113515,53802,56012,19292,10351,57,44
463872,117833,23541,25029,4681,26359,10677,3373,54,50
3083807,173337,90101,47768,17190,61297,19464,16172,48,51
104859,67887,12234,15039,11956,11380,3688,1348,51,53
645476,38145,63768,13294,17505,5952,3542,887,67,53
953665,647614,29311,23018,121145,35622,13675,8928,53,44
1754074,398576,33431,75684,110795,41744,18992,12416,43,37
578064,28665,5906,3940,7079,12756,2163,1214,38,43
1240971,232173,14648,69211,34142,48552,13092,8834,23,53
618395,78004,36700,11327,13366,5828,5137,3464,44,51
178884,104928,21134,22911,9329,12970,6664,2222,50,51
227448,279821,193453,62348,73531,61320,18696,6073,61,43
1596121,573624,154442,88791,144852,37461,23324,8737,63,34
460051,7387,5392,3085,7539,6196,3420,958,63,34
275837,96970,9615,36459,11148,11012,5525,3944,61,38
248662,30367,19421,26432,12511,6842,4161,4125,70,38
530766,134693,90750,251331,93241,21392,21832,6977,78,30
226127,96961,15679,15831,15609,15521,3253,3562,75,38
185822,39774,4223,18645,2871,2890,1453,482,78,35
2740423,357209,49022,180273,47336,33738,38161,18523,70,30
264503,5357,1496,1728,1053,291,387,226,70,30
820522,313474,45252,74170,12638,28460,9771,5240,70,30
