,Time,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
723,2020.3.8.16.19.56,239076,97508,28338,33443,38785,15634,5923,8575,57,64
724,2020.3.8.16.19.57,2068036,202502,28610,7227,32798,4828,2639,1719,43,50
725,2020.3.8.16.19.58,217486,128734,3546,19785,8834,14141,5202,3133,44,56
726,2020.3.8.16.19.59,379899,28011,45382,9958,11002,8114,15981,3878,48,50
727,2020.3.8.16.20.0,944168,148586,62629,27011,19166,24421,6826,10217,50,50
728,2020.3.8.16.20.1,1955920,54550,6720,9038,5204,14272,7841,2233,53,69
729,2020.3.8.16.20.2,2966171,79725,22521,28218,118518,13458,10249,4204,60,70
730,2020.3.8.16.20.3,97189,80987,4506,5957,5443,3113,1355,1145,35,61
731,2020.3.8.16.20.4,2128089,522576,36125,18597,27307,32030,10179,25463,17,57
732,2020.3.8.16.20.5,167945,146613,5855,31540,17710,18782,4644,23937,17,51
733,2020.3.8.16.20.6,261052,32565,18913,9513,20763,9389,3708,5928,23,56
734,2020.3.8.16.20.7,2428810,174665,11511,51899,27323,8082,11634,8119,34,56
735,2020.3.8.16.20.8,234701,395496,35742,21205,59862,19729,32406,13735,35,53
736,2020.3.8.16.20.9,30181,44434,3885,1395,9566,2287,1298,2286,26,44
737,2020.3.8.16.20.10,86836,36976,1893,1728,4082,2528,1864,2498,10,37
738,2020.3.8.16.20.11,712757,133259,163269,33876,14780,18183,3510,2605,23,41
739,2020.3.8.16.20.12,75040,41186,7882,4359,7102,3358,3203,851,30,44
740,2020.3.8.16.20.13,135169,266876,4155,70353,52384,10375,7103,6619,40,41
741,2020.3.8.16.20.14,2049037,539876,193078,32760,36941,19144,10908,10246,56,34
742,2020.3.8.16.20.15,5464,12666,6595,4617,3485,1771,1583,1767,48,35
743,2020.3.8.16.20.16,101666,8831,1654,3148,1147,1234,256,147,56,38
744,2020.3.8.16.20.17,477972,43885,2020,10411,14703,4426,2516,2841,54,47
745,2020.3.8.16.20.18,152995,18643,15663,20817,27517,15733,6671,4510,57,69
746,2020.3.8.16.20.19,533647,18090,6745,10457,11211,14153,10240,6458,54,84
747,2020.3.8.16.20.20,317561,33907,24878,13102,5662,4540,3198,1283,63,81
748,2020.3.8.16.20.21,11437,50514,24486,8490,12747,1877,3299,677,74,69
749,2020.3.8.16.20.22,37129,44522,8419,4209,16328,8172,4854,6273,61,63
750,2020.3.8.16.20.23,28710,179856,14952,29207,21970,15412,5946,7621,53,48
751,2020.3.8.16.20.24,2393317,477281,17721,34865,40409,26900,5966,5692,27,47
752,2020.3.8.16.20.25,82013,54950,1875,1564,5164,2220,1087,973,1,51
753,2020.3.8.16.20.26,49983,50367,12030,24526,9024,13568,4478,2211,13,51
754,2020.3.8.16.20.27,148875,20649,7509,3338,5437,3063,965,1986,20,53
755,2020.3.8.16.20.28,451065,23248,5933,579,1722,2112,469,525,29,56
756,2020.3.8.16.20.29,62909,2855,430,4856,3815,2585,2224,2079,56,77
757,2020.3.8.16.20.30,3231,22872,4309,1681,2803,3215,1178,1809,44,74
758,2020.3.8.16.20.31,143524,97476,131617,34148,27923,9740,9123,3779,57,64
759,2020.3.8.16.20.32,212573,30909,12472,7138,5039,1826,883,342,67,57
760,2020.3.8.16.20.33,1600429,287060,41359,26868,68229,23723,6541,5775,56,43
761,2020.3.8.16.20.34,65754,33003,4980,16064,8101,3187,2997,1269,66,38
762,2020.3.8.16.20.35,281620,33318,12948,20855,14546,7993,8986,7052,60,50
763,2020.3.8.16.20.36,45746,26347,14998,4276,5715,2058,3715,1402,61,51
764,2020.3.8.16.20.37,984404,54516,32628,8022,10333,11519,11053,10512,70,57
765,2020.3.8.16.20.38,986069,187135,59357,28483,22605,31106,13665,5851,67,63
766,2020.3.8.16.20.39,1438271,102810,19815,19770,8294,14858,8252,7670,57,63
767,2020.3.8.16.20.40,117828,140854,9238,33483,16626,11897,7806,4410,50,64
768,2020.3.8.16.20.41,183214,26426,100965,11015,17843,16259,7951,6408,64,64
769,2020.3.8.16.20.42,1579572,164944,7384,46753,42004,61983,8925,11330,57,74
770,2020.3.8.16.20.43,603196,128962,4883,13087,2999,2583,2259,2074,48,57
771,2020.3.8.16.20.44,1102737,456206,64190,144964,25363,41198,9282,20887,53,57
772,2020.3.8.16.20.45,3770,6940,9783,2895,4272,1575,542,1054,47,54
773,2020.3.8.16.20.46,581214,486326,98294,60219,31357,32443,16305,9687,50,38
774,2020.3.8.16.20.47,325445,42137,7837,10454,15859,20400,19899,4265,56,64
775,2020.3.8.16.20.48,326851,42507,5661,4062,6016,8044,6523,1658,48,74
776,2020.3.8.16.20.49,202599,338769,9638,10687,19795,43170,46161,8449,14,78
777,2020.3.8.16.20.50,570464,262216,25541,63528,28069,24377,14828,11652,14,80
778,2020.3.8.16.20.51,348367,76830,28261,8718,11238,3836,1616,1549,21,57
779,2020.3.8.16.20.52,270030,25700,6677,6304,10786,1821,1001,583,27,48
780,2020.3.8.16.20.53,80789,131135,6106,24485,27627,9320,17512,4984,43,41
781,2020.3.8.16.20.54,13987,7924,2275,3935,1208,1308,1124,1204,51,44
782,2020.3.8.16.20.55,349689,53903,4551,20853,13603,20382,11095,7051,48,63
783,2020.3.8.16.20.56,201811,62261,8141,17914,14133,25832,22112,11701,44,80
784,2020.3.8.16.20.57,194373,29543,6510,647,11040,4127,2550,1811,43,87
785,2020.3.8.16.20.58,396204,68130,36780,73123,12040,16201,7163,6604,51,87
786,2020.3.8.16.20.59,223634,124231,37996,18098,39286,27167,6021,3984,51,81
787,2020.3.8.16.21.0,968471,27624,2714,3163,7199,3014,848,369,51,81
788,2020.3.8.16.21.1,18865,1852,298,1125,887,1049,208,474,56,83
789,2020.3.8.16.21.2,1022946,76696,27746,5131,17362,6204,10646,13356,64,77
790,2020.3.8.16.21.3,110811,58458,16821,5905,8940,7750,1985,1395,50,77
791,2020.3.8.16.21.4,54176,42221,6386,21355,25503,12188,6096,7863,51,78
792,2020.3.8.16.21.5,144654,23638,19702,2869,10701,5252,9043,10419,56,66
793,2020.3.8.16.21.6,21769,15789,16006,17754,33583,13326,5497,6065,60,81
794,2020.3.8.16.21.7,287828,38416,4211,11975,4357,6758,5544,1555,61,83
795,2020.3.8.16.21.8,135899,13967,7245,9459,5383,3489,2023,1656,69,80
796,2020.3.8.16.21.9,146128,20967,2414,10097,8914,2646,3983,1537,64,75
797,2020.3.8.16.21.10,94831,117862,60932,20854,37520,14943,10366,14729,63,63
798,2020.3.8.16.21.11,71852,24978,9367,3334,4438,2182,604,802,64,56
799,2020.3.8.16.21.12,1380631,316573,11292,19195,12386,12756,9827,4161,41,47
800,2020.3.8.16.21.13,38057,66953,3840,10285,11914,13523,11476,6015,30,54
801,2020.3.8.16.21.14,449754,32600,5253,2705,10957,17499,3369,9195,17,70
802,2020.3.8.16.21.15,12782,43774,11157,15555,10654,10695,6291,4334,17,80
803,2020.3.8.16.21.16,207424,21388,2323,1774,1405,998,420,335,27,81
804,2020.3.8.16.21.17,77126,19512,2350,8720,1249,1816,1006,587,40,70
805,2020.3.8.16.21.18,1009712,83193,16824,23654,10260,5576,1850,1737,51,48
806,2020.3.8.16.21.19,121913,15498,3211,4804,1516,5022,894,1106,50,51
807,2020.3.8.16.21.20,109166,12541,1884,3415,3357,2165,922,1263,54,61
808,2020.3.8.16.21.21,1131076,31287,30015,18030,23641,11293,9113,10005,57,69
809,2020.3.8.16.21.22,697408,76216,14051,6648,17969,31127,54893,20684,50,90
810,2020.3.8.16.21.23,112580,29418,4424,1249,7006,6166,13991,10649,38,88
811,2020.3.8.16.21.24,247219,181471,84988,17799,31284,25129,31307,19656,41,84
812,2020.3.8.16.21.25,143697,11305,1696,729,4343,1772,396,507,24,83
813,2020.3.8.16.21.26,167282,13024,1019,2044,1233,1503,1184,443,26,70
814,2020.3.8.16.21.27,218765,243039,99142,23709,21382,11130,11841,5264,38,53
815,2020.3.8.16.21.28,289685,53871,9688,4753,4574,5393,1072,945,30,51
816,2020.3.8.16.21.29,1853048,53554,30106,6641,26402,14037,11281,5643,43,53
817,2020.3.8.16.21.30,11838,14835,10677,4567,2665,5263,2245,923,56,60
818,2020.3.8.16.21.31,25272,39860,5943,20443,24855,12906,4413,10178,54,78
819,2020.3.8.16.21.32,86379,18418,2469,3760,4656,4729,3384,4164,54,87
820,2020.3.8.16.21.33,81054,48975,22040,50950,26503,17630,6453,5953,61,87
821,2020.3.8.16.21.34,44309,47955,13642,23663,7613,24290,31627,8449,57,90
822,2020.3.8.16.21.35,84395,30467,9203,2409,5002,5849,1957,2886,56,88
823,2020.3.8.16.21.36,319997,58600,11297,14849,13085,25255,19781,5748,57,91
824,2020.3.8.16.21.37,449607,121710,13240,11367,3916,4268,2932,2948,43,77
825,2020.3.8.16.21.38,304942,139376,26760,96290,50353,34625,16547,8456,44,69
826,2020.3.8.16.21.39,17179,16406,2850,6220,3048,4131,3552,877,50,74
827,2020.3.8.16.21.40,16514,78632,35006,17079,5689,9649,12214,7302,56,60
828,2020.3.8.16.21.41,90296,13875,987,6032,2329,3546,1420,1214,63,75
829,2020.3.8.16.21.42,38550,39503,10678,10641,10821,15086,12955,7600,56,81
830,2020.3.8.16.21.43,931850,247628,40307,18385,9918,26541,22985,15329,50,74
831,2020.3.8.16.21.44,242832,36688,21178,17297,27662,6560,3081,1543,50,75
832,2020.3.8.16.21.45,22387,17805,7636,7893,3047,4844,2941,1285,56,74
833,2020.3.8.16.21.46,23549,17198,13079,26588,15147,15359,8567,6030,67,74
834,2020.3.8.16.21.47,106537,27658,3005,2826,3940,3805,9899,2249,64,77
835,2020.3.8.16.21.48,1132856,132847,16791,32115,19987,8195,7698,8717,57,70
836,2020.3.8.16.21.49,217415,18434,4045,3224,3765,6303,3755,1352,48,77
837,2020.3.8.16.21.50,116248,66202,28046,20842,24621,8602,10943,4999,41,64
838,2020.3.8.16.21.51,6209,39582,34613,43664,7909,10825,17100,8168,64,63
839,2020.3.8.16.21.52,948745,85175,8328,17244,25770,25076,27279,12622,60,78
840,2020.3.8.16.21.53,151929,74957,17452,5770,10680,6292,4607,2327,57,64
841,2020.3.8.16.21.54,190328,49145,22945,7556,4894,8307,6367,2747,57,67
842,2020.3.8.16.21.55,84381,35464,19226,5794,20397,21063,7473,4048,43,81
843,2020.3.8.16.21.56,138220,69848,22471,4275,8109,5231,1062,1342,50,67
844,2020.3.8.16.21.57,113185,11645,14769,4540,7599,7306,2946,919,61,78
845,2020.3.8.16.21.58,536416,151342,30339,5802,15142,20656,13387,3947,53,78
846,2020.3.8.16.21.59,41326,97337,1647,5718,1559,1953,2455,1609,37,51
847,2020.3.8.16.22.0,209993,27154,4826,1909,9437,5452,1776,1324,27,60
848,2020.3.8.16.22.1,216805,22564,13064,7018,6335,5822,4182,2014,24,56
849,2020.3.8.16.22.2,204837,186794,12111,1412,6933,3162,2824,1927,13,38
850,2020.3.8.16.22.3,97642,38825,3489,16285,7289,1731,3643,2107,30,40
851,2020.3.8.16.22.4,693914,73228,20829,6572,19645,10166,5858,4318,38,37
852,2020.3.8.16.22.5,33218,22881,32382,18543,19022,34442,9481,9553,40,48
853,2020.3.8.16.22.6,105025,8081,3988,747,1022,1532,882,330,61,66
854,2020.3.8.16.22.7,3227,11901,8057,4624,6260,4364,1476,1154,64,83
855,2020.3.8.16.22.8,91293,49314,30462,24940,12290,8109,7510,4883,77,81
856,2020.3.8.16.22.9,1270484,227549,123352,16338,54320,39001,23738,17244,77,81
857,2020.3.8.16.22.10,484463,38372,12948,5738,6823,2739,845,566,77,81
858,2020.3.8.16.22.11,48367,146949,4728,4783,7611,2232,1072,3333,50,50
859,2020.3.8.16.22.12,124521,8348,372,1610,2176,1558,1892,1037,40,51
860,2020.3.8.16.22.13,840286,116882,14450,11216,14933,16642,9151,16085,24,48
861,2020.3.8.16.22.14,240455,116521,14894,31868,14391,15437,8321,3282,16,51
862,2020.3.8.16.22.15,161821,39828,5394,6516,7450,7574,1723,2168,29,74
863,2020.3.8.16.22.16,578081,9379,5610,2697,4032,1708,694,214,43,67
864,2020.3.8.16.22.17,230221,53331,28161,11344,14869,10989,1421,937,43,67
865,2020.3.8.16.22.18,187579,37824,6615,3956,2550,1950,759,198,48,57
866,2020.3.8.16.22.19,148558,10935,20743,21089,11668,12115,21084,8744,61,66
867,2020.3.8.16.22.20,49559,25865,13443,15900,3266,10993,3096,3201,77,67
868,2020.3.8.16.22.21,24409,10253,5150,3915,5608,4039,2919,1299,74,77
869,2020.3.8.16.22.22,151189,83136,49232,13874,7979,4209,3139,2906,84,74
870,2020.3.8.16.22.23,507156,69257,7354,22992,20855,22574,6805,4683,67,74
871,2020.3.8.16.22.24,553753,15600,18679,4633,2231,2830,2075,1301,70,63
872,2020.3.8.16.22.25,93871,27586,3860,7797,2842,1774,1468,934,69,48
873,2020.3.8.16.22.26,670328,58371,4933,2037,6703,12100,8500,7106,47,64
874,2020.3.8.16.22.27,40179,19879,11562,3874,4939,4396,4036,2632,53,60
875,2020.3.8.16.22.28,1256339,330937,84093,30209,28345,25809,5248,5356,40,57
876,2020.3.8.16.22.29,60401,27224,5340,5435,10371,4136,2011,3105,37,66
877,2020.3.8.16.22.30,229719,23443,19625,8947,9289,4206,1814,3503,57,60
878,2020.3.8.16.22.31,1111231,240581,11182,5321,12403,6892,4600,6480,37,44
879,2020.3.8.16.22.32,68228,31146,6259,8328,5125,3675,1517,1363,40,48
880,2020.3.8.16.22.33,270420,32744,16628,13186,29303,16261,8083,3216,43,54
881,2020.3.8.16.22.34,193743,25530,22479,14817,6235,2551,2183,2298,48,47
882,2020.3.8.16.22.35,263690,26496,6442,2063,2737,2405,731,553,63,56
883,2020.3.8.16.22.36,77149,11211,1480,499,2647,1099,229,146,51,56
884,2020.3.8.16.22.37,263507,92003,3463,3583,5148,7653,3387,3884,34,47
885,2020.3.8.16.22.38,480676,57084,58293,15985,8459,4341,1470,2720,34,44
886,2020.3.8.16.22.39,883300,133640,66598,28414,20357,7081,3826,3412,41,37
887,2020.3.8.16.22.40,137146,33465,19310,4579,3817,12267,5371,4174,54,44
888,2020.3.8.16.22.41,462436,150453,20505,3650,10405,2876,1355,1884,63,30
889,2020.3.8.16.22.42,1323719,536214,80161,30049,26511,12537,5693,9723,44,26
890,2020.3.8.16.22.43,1078126,304806,179730,50188,69008,11405,8737,7494,47,23
891,2020.3.8.16.22.44,250570,94712,24232,10927,7656,9839,1266,1458,41,14
892,2020.3.8.16.22.45,223040,146896,40277,20925,18968,22403,4759,3297,51,30
893,2020.3.8.16.22.46,688473,256295,49883,24433,42631,20265,5062,3668,53,40
894,2020.3.8.16.22.47,1063300,35171,5298,5807,19981,6219,680,510,40,57
895,2020.3.8.16.22.48,440532,104605,7546,3712,3639,2280,974,407,26,44
896,2020.3.8.16.22.49,1660906,139980,67209,30152,39806,11051,5719,3755,30,38
897,2020.3.8.16.22.50,67075,58253,19084,9403,6324,5176,1396,918,35,38
898,2020.3.8.16.22.51,852873,192811,31337,5016,42467,31197,9655,4741,30,40
899,2020.3.8.16.22.52,303913,50475,4994,12419,12586,3502,757,556,41,48
900,2020.3.8.16.22.53,97694,21289,10740,2795,1937,3477,264,525,41,54
901,2020.3.8.16.22.54,78759,28449,1729,4317,3098,919,481,311,34,47
902,2020.3.8.16.22.56,463274,62522,25839,35062,21324,14964,11121,2475,57,41
903,2020.3.8.16.22.57,372505,32811,18792,6416,2691,10383,4587,551,57,47
904,2020.3.8.16.22.58,633684,56642,4186,9160,3000,4847,924,469,57,47
