,Time,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
378,2020.3.8.16.14.9,1204778,1253516,53833,72336,67709,30581,15550,2196,0,0
379,2020.3.8.16.14.10,540987,26277,40461,39613,9449,4152,3201,3721,0,0
380,2020.3.8.16.14.11,700967,35406,56807,90321,74906,27252,2828,2585,0,0
381,2020.3.8.16.14.14,696154,383100,15445,17535,69202,171753,119285,86961,0,0
382,2020.3.8.16.14.15,518538,30080,22464,53422,95404,94006,9273,4918,0,0
383,2020.3.8.16.14.16,827708,28340,38192,42747,19026,35734,6245,6616,0,0
384,2020.3.8.16.14.17,1452616,56635,4889,13187,4320,3708,629,407,0,0
385,2020.3.8.16.14.18,84771,80861,38016,3345,2944,1854,877,1005,0,0
386,2020.3.8.16.14.19,296643,10166,6916,1262,2730,3475,1074,777,75,64
387,2020.3.8.16.14.20,847312,360111,49417,20029,56855,11986,4574,1941,61,53
388,2020.3.8.16.14.21,330781,81961,49593,15059,6883,4279,2937,1112,74,53
389,2020.3.8.16.14.22,27972,192797,19182,9271,3520,4547,1496,1149,60,41
390,2020.3.8.16.14.23,105665,48600,13887,2759,7095,3180,908,917,51,29
391,2020.3.8.16.14.24,196596,73550,11819,3941,2444,3470,2597,1385,56,34
392,2020.3.8.16.14.25,188912,72243,26947,9154,17175,10927,1855,1343,44,43
393,2020.3.8.16.14.26,150084,65983,24029,3518,5299,3140,815,1523,60,47
394,2020.3.8.16.14.27,188421,141528,57790,21665,23245,14085,2534,3324,67,50
395,2020.3.8.16.14.28,179413,50655,7952,11252,8632,5032,2768,2127,75,53
396,2020.3.8.16.14.29,1072276,191645,25212,62609,13962,10440,6027,2947,75,44
